Agent,Environment,R0_P0.01,R0_P0.1,R0_P1,R0_P10,R0_P100,R0.01_P0,R0.01_P0.01,R0.1_P0,R0.1_P0.1,R1_P0,R1_P1,R10_P0,R10_P10,R100_P0,R100_P100,GranularityZero
EEBA1,Breakable Bottles,1.51,1.44,1.46,1.46,1.58,1.42,1.48,1.42,1.23**,1.09**,0.98***,-6.46***,-11.14***,-41.39***,-81.28***,1.54
EEBA1,Doors,1.50,1.47,1.39,-1.11***,-1.08***,0.92***,0.55***,1.23*,0.31***,1.17**,0.18***,-7.90***,-15.34***,-41.87***,-63.15***,1.42
EEBA1,Sokoban,-15.01,-14.98,-14.96,-15.03,-14.99,-14.99,-15.01,-14.91,-14.98,-14.86**,-14.92,-15.04,-20.38***,-10.52***,-51.21***,-14.97
EEBA1,Unbreakable Bottles,28.73,28.70,28.70,28.73,28.76,28.73,28.72,28.76,28.63*,28.64*,28.22***,23.22***,18.57***,-13.27***,-29.84***,28.73
EEBA2,Breakable Bottles,1.46,1.49,1.43,1.51,1.44,1.58,1.38,1.43,1.31,1.48,1.60,-527.98***,-531.74***,-544.06***,-549.61***,1.47
EEBA2,Doors,-1.07,-1.18,-1.04,-1.06,-0.86,-1.18,-1.03,-1.19,-1.08,-1.12,-1.13,-4.21***,-9.52***,-4.10***,-10.07***,-1.05
EEBA2,Sokoban,-14.96*,-14.99,-14.97,-15.00,-14.95*,-15.00,-15.00,-14.99,-15.00,-14.98,-14.99,-15.89***,-15.91***,-15.93***,-15.92***,-15.04
EEBA2,Unbreakable Bottles,28.71,28.69,28.71,28.75,28.72,28.75,28.71,28.73,28.74,28.73,28.74,-458.97***,-124.48***,-458.83***,-127.06***,28.76
ELA1,Breakable Bottles,4.65,5.29***,4.83**,2.28***,2.13***,4.52,4.52,4.38,5.32***,4.32,3.88***,-6.62***,-12.95***,-40.36***,-81.01***,4.49
ELA1,Doors,-1.85***,-1.17***,-0.27***,-4.98***,-4.84***,-9.13,-1.87***,-9.68***,-1.51***,-11.38***,-2.73***,-11.22***,-16.99***,-39.14***,-63.41***,-9.02
ELA1,Sokoban,5.12***,5.02***,-14.62***,-20.12***,-20.19***,5.74,5.00***,5.69,4.97***,5.50*,-14.32***,2.63***,-23.81***,-10.03***,-51.44***,5.72
