Environment,RewGranularity,PenGranularity,EEBA1,EEBA2,ELA1,ELA2,LELA2,LIN_SUM,ROLF_EXP_LOG1,ROLF_EXP_LOG2,SEBA1,SEBA2,SFLLA1,SFLLA2,SFMLA1,SFMLA2,TLO$^A$
Breakable Bottles,0,0,1.54**,1.47***,4.49***,-2.30***,1.79,1.54**,4.16***,-10.11***,1.40***,1.51***,6.61***,-1.80***,1.40***,1.67,1.82
Breakable Bottles,0,0.01,1.51**,1.46***,4.65***,-2.29***,1.83,1.47***,4.13***,-10.26***,1.44***,1.41***,6.61***,-1.84***,1.54*,1.45***,1.82
Breakable Bottles,0,0.1,1.44***,1.49***,5.29***,-2.21***,1.81,1.40***,4.80***,-10.38***,1.51***,1.52**,6.52***,-1.82***,1.38***,1.61*,1.82
Breakable Bottles,0,1,1.46***,1.43***,4.83***,-2.21***,1.73,1.57**,4.41***,-9.87***,1.42***,1.48***,4.08***,-1.84***,1.55**,1.65,1.82
Breakable Bottles,0,10,1.46***,1.51**,2.28,-2.10***,1.76,1.35***,2.46**,-9.59***,1.48***,1.46***,1.44***,-1.71***,1.52***,1.65*,1.82
Breakable Bottles,0,100,1.58*,1.44***,2.13,-2.23***,1.70,1.44***,2.36*,-18.94***,1.50***,1.50**,1.39***,-1.56***,1.57**,1.64*,1.82
Breakable Bottles,0.01,0,1.42***,1.58*,4.52***,-2.25***,1.75,1.38***,4.08***,-10.36***,1.38***,1.49***,6.47***,-1.63***,1.55*,1.53**,1.82
Breakable Bottles,0.01,0.01,1.48***,1.38***,4.52***,-2.15***,1.85,1.46***,4.06***,-10.15***,1.37***,1.48***,6.49***,-1.86***,1.48**,1.52**,1.82
Breakable Bottles,0.1,0,1.42***,1.43***,4.38***,-2.25***,1.67,1.48***,3.93***,-10.19***,1.57*,1.32***,6.56***,-1.66***,1.36***,1.70,1.82
Breakable Bottles,0.1,0.1,1.23***,1.31***,5.32***,-2.34***,1.79,1.47***,4.67***,-9.84***,1.41***,1.41***,6.37***,-1.79***,1.33***,1.54***,1.82
Breakable Bottles,1,0,1.09***,1.48***,4.32***,-2.23***,1.75,1.46***,3.80***,-10.19***,0.89***,1.50**,6.37***,-1.85***,1.03***,1.61,1.82
Breakable Bottles,1,1,0.98***,1.60*,3.88***,-2.24***,1.86,1.43***,3.29***,-8.94***,0.99***,1.52**,4.13***,-1.88***,1.19***,1.66,1.82
Breakable Bottles,10,0,-6.46***,-527.98***,-6.62***,-545.16***,-522.84***,1.45***,-6.47***,-17.23***,-7.65***,-530.55***,-5.41***,-542.49***,-6.50***,-523.97***,1.82
Breakable Bottles,10,10,-11.14***,-531.74***,-12.95***,-549.90***,-534.56***,1.52**,-12.93***,-24.84***,-11.18***,-528.00***,-11.25***,-546.28***,-11.20***,-533.97***,1.82
Breakable Bottles,100,0,-41.39***,-544.06***,-40.36***,-543.25***,-542.62***,1.49**,-40.47***,-0.03***,-19.78***,-545.18***,-40.38***,-544.76***,-23.36***,-546.02***,1.82
Breakable Bottles,100,100,-81.28***,-549.61***,-81.01***,-547.82***,-551.04***,1.38***,-81.14***,-49.42***,-81.11***,-549.76***,-81.19***,-550.13***,-80.96***,-548.61***,1.82
Doors,0,0,1.42***,-1.05***,-9.02***,-0.70***,-0.47***,-0.53***,-9.64***,-2.89***,-0.46***,-1.68***,4.62***,-0.64***,1.39***,-0.63***,3.96
Doors,0,0.01,1.50***,-1.07***,-1.85***,-0.61***,-0.23***,-0.48***,-2.44***,-3.04***,-0.46***,-1.73***,4.02,-0.63***,1.44***,-0.62***,3.96
